"GroupID","GroupName","Department","GroupType","Description","Status"
"GRP-0195","GRP-Security-0195","Security","Distribution","Security Department Group","Active"
"GRP-0196","GRP-HR-0196","HR","Security","HR Department Group","Active"
"GRP-0197","GRP-Sales-0197","Sales","Security","Sales Department Group","Active"
"GRP-0198","GRP-Sales-0198","Sales","Security","Sales Department Group","Active"
"GRP-0199","GRP-Sales-0199","Sales","Security","Sales Department Group","Active"
"GRP-0200","GRP-Sales-0200","Sales","Distribution","Sales Department Group","Active"
"GRP-0201","GRP-Security-0201","Security","Distribution","Security Department Group","Active"
"GRP-0202","GRP-Sales-0202","Sales","Distribution","Sales Department Group","Active"
"GRP-0203","GRP-Security-0203","Security","Security","Security Department Group","Active"
"GRP-0204","GRP-IT-0204","IT","Distribution","IT Department Group","Active"
"GRP-0205","GRP-Engineering-0205","Engineering","Security","Engineering Department Group","Active"
"GRP-0206","GRP-Security-0206","Security","Distribution","Security Department Group","Active"
"GRP-0207","GRP-IT-0207","IT","Distribution","IT Department Group","Active"
"GRP-0208","GRP-CustomerSuccess-0208","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0209","GRP-Legal-0209","Legal","Security","Legal Department Group","Active"
"GRP-0210","GRP-IT-0210","IT","Security","IT Department Group","Active"
"GRP-0211","GRP-Finance-0211","Finance","Distribution","Finance Department Group","Active"
"GRP-0212","GRP-Security-0212","Security","Distribution","Security Department Group","Active"
"GRP-0213","GRP-HR-0213","HR","Distribution","HR Department Group","Active"
"GRP-0214","GRP-IT-0214","IT","Distribution","IT Department Group","Active"
"GRP-0215","GRP-IT-0215","IT","Distribution","IT Department Group","Active"
"GRP-0216","GRP-CustomerSuccess-0216","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0217","GRP-IT-0217","IT","Security","IT Department Group","Active"
"GRP-0218","GRP-Marketing-0218","Marketing","Security","Marketing Department Group","Active"
"GRP-0219","GRP-Marketing-0219","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0220","GRP-HR-0220","HR","Security","HR Department Group","Active"
"GRP-0221","GRP-Engineering-0221","Engineering","Security","Engineering Department Group","Active"
"GRP-0222","GRP-CustomerSuccess-0222","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0223","GRP-Sales-0223","Sales","Distribution","Sales Department Group","Active"
"GRP-0224","GRP-Legal-0224","Legal","Security","Legal Department Group","Active"
"GRP-0225","GRP-CustomerSuccess-0225","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0226","GRP-IT-0226","IT","Distribution","IT Department Group","Active"
"GRP-0227","GRP-Operations-0227","Operations","Distribution","Operations Department Group","Active"
"GRP-0228","GRP-Marketing-0228","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0229","GRP-Marketing-0229","Marketing","Security","Marketing Department Group","Active"
"GRP-0230","GRP-HR-0230","HR","Security","HR Department Group","Active"
"GRP-0231","GRP-CustomerSuccess-0231","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0232","GRP-Legal-0232","Legal","Distribution","Legal Department Group","Active"
"GRP-0233","GRP-Legal-0233","Legal","Distribution","Legal Department Group","Active"
"GRP-0234","GRP-HR-0234","HR","Security","HR Department Group","Active"
"GRP-0235","GRP-Legal-0235","Legal","Distribution","Legal Department Group","Active"
"GRP-0236","GRP-CustomerSuccess-0236","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0237","GRP-Legal-0237","Legal","Security","Legal Department Group","Active"
"GRP-0238","GRP-Marketing-0238","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0239","GRP-HR-0239","HR","Security","HR Department Group","Active"
"GRP-0240","GRP-CustomerSuccess-0240","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0241","GRP-Sales-0241","Sales","Security","Sales Department Group","Active"
"GRP-0242","GRP-Finance-0242","Finance","Distribution","Finance Department Group","Active"
"GRP-0243","GRP-Marketing-0243","Marketing","Security","Marketing Department Group","Active"
"GRP-0244","GRP-Engineering-0244","Engineering","Security","Engineering Department Group","Active"
"GRP-0245","GRP-Sales-0245","Sales","Security","Sales Department Group","Active"
"GRP-0246","GRP-Engineering-0246","Engineering","Security","Engineering Department Group","Active"
"GRP-0247","GRP-Finance-0247","Finance","Distribution","Finance Department Group","Active"
"GRP-0248","GRP-Sales-0248","Sales","Security","Sales Department Group","Active"
"GRP-0249","GRP-HR-0249","HR","Security","HR Department Group","Active"
"GRP-0250","GRP-Sales-0250","Sales","Distribution","Sales Department Group","Active"
"GRP-0251","GRP-Marketing-0251","Marketing","Security","Marketing Department Group","Active"
"GRP-0252","GRP-HR-0252","HR","Security","HR Department Group","Active"
"GRP-0253","GRP-IT-0253","IT","Security","IT Department Group","Active"
"GRP-0254","GRP-HR-0254","HR","Distribution","HR Department Group","Active"
"GRP-0255","GRP-Finance-0255","Finance","Security","Finance Department Group","Active"
"GRP-0256","GRP-CustomerSuccess-0256","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0257","GRP-Finance-0257","Finance","Security","Finance Department Group","Active"
"GRP-0258","GRP-Engineering-0258","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0259","GRP-Sales-0259","Sales","Security","Sales Department Group","Active"
"GRP-0260","GRP-Legal-0260","Legal","Security","Legal Department Group","Active"
"GRP-0261","GRP-Marketing-0261","Marketing","Security","Marketing Department Group","Active"
"GRP-0262","GRP-CustomerSuccess-0262","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0263","GRP-Security-0263","Security","Security","Security Department Group","Active"
"GRP-0264","GRP-Operations-0264","Operations","Distribution","Operations Department Group","Active"
"GRP-0265","GRP-Operations-0265","Operations","Security","Operations Department Group","Active"
"GRP-0266","GRP-Legal-0266","Legal","Security","Legal Department Group","Active"
"GRP-0267","GRP-Finance-0267","Finance","Distribution","Finance Department Group","Active"
"GRP-0268","GRP-Finance-0268","Finance","Security","Finance Department Group","Active"
"GRP-0269","GRP-HR-0269","HR","Security","HR Department Group","Active"
"GRP-0270","GRP-HR-0270","HR","Security","HR Department Group","Active"
"GRP-0271","GRP-Sales-0271","Sales","Distribution","Sales Department Group","Active"
"GRP-0272","GRP-CustomerSuccess-0272","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0273","GRP-CustomerSuccess-0273","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0274","GRP-Operations-0274","Operations","Security","Operations Department Group","Active"
"GRP-0275","GRP-IT-0275","IT","Security","IT Department Group","Active"
"GRP-0276","GRP-HR-0276","HR","Security","HR Department Group","Active"
"GRP-0277","GRP-Operations-0277","Operations","Distribution","Operations Department Group","Active"
"GRP-0278","GRP-Marketing-0278","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0279","GRP-Finance-0279","Finance","Security","Finance Department Group","Active"
"GRP-0280","GRP-Sales-0280","Sales","Security","Sales Department Group","Active"
"GRP-0281","GRP-CustomerSuccess-0281","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0282","GRP-Operations-0282","Operations","Distribution","Operations Department Group","Active"
"GRP-0283","GRP-Operations-0283","Operations","Security","Operations Department Group","Active"
"GRP-0284","GRP-Engineering-0284","Engineering","Security","Engineering Department Group","Active"
"GRP-0285","GRP-Legal-0285","Legal","Security","Legal Department Group","Active"
"GRP-0286","GRP-IT-0286","IT","Security","IT Department Group","Active"
"GRP-0287","GRP-Operations-0287","Operations","Distribution","Operations Department Group","Active"
"GRP-0288","GRP-Finance-0288","Finance","Distribution","Finance Department Group","Active"
"GRP-0289","GRP-Legal-0289","Legal","Distribution","Legal Department Group","Active"
"GRP-0290","GRP-Finance-0290","Finance","Security","Finance Department Group","Active"
"GRP-0291","GRP-Operations-0291","Operations","Security","Operations Department Group","Active"
"GRP-0292","GRP-Security-0292","Security","Security","Security Department Group","Active"
"GRP-0293","GRP-Legal-0293","Legal","Security","Legal Department Group","Active"
"GRP-0294","GRP-HR-0294","HR","Distribution","HR Department Group","Active"
"GRP-0295","GRP-CustomerSuccess-0295","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0296","GRP-Security-0296","Security","Distribution","Security Department Group","Active"
"GRP-0297","GRP-Finance-0297","Finance","Distribution","Finance Department Group","Active"
"GRP-0298","GRP-Security-0298","Security","Distribution","Security Department Group","Active"
"GRP-0299","GRP-Finance-0299","Finance","Security","Finance Department Group","Active"
"GRP-0300","GRP-Security-0300","Security","Security","Security Department Group","Active"
"GRP-0301","GRP-Sales-0301","Sales","Distribution","Sales Department Group","Active"
"GRP-0302","GRP-Marketing-0302","Marketing","Security","Marketing Department Group","Active"
"GRP-0303","GRP-Engineering-0303","Engineering","Security","Engineering Department Group","Active"
"GRP-0304","GRP-Legal-0304","Legal","Security","Legal Department Group","Active"
"GRP-0305","GRP-Sales-0305","Sales","Security","Sales Department Group","Active"
"GRP-0306","GRP-Finance-0306","Finance","Distribution","Finance Department Group","Active"
"GRP-0307","GRP-Security-0307","Security","Security","Security Department Group","Active"
"GRP-0308","GRP-Legal-0308","Legal","Distribution","Legal Department Group","Active"
"GRP-0309","GRP-Operations-0309","Operations","Distribution","Operations Department Group","Active"
"GRP-0310","GRP-Legal-0310","Legal","Security","Legal Department Group","Active"
"GRP-0311","GRP-IT-0311","IT","Security","IT Department Group","Active"
"GRP-0312","GRP-Engineering-0312","Engineering","Security","Engineering Department Group","Active"
"GRP-0313","GRP-Legal-0313","Legal","Distribution","Legal Department Group","Active"
"GRP-0314","GRP-Legal-0314","Legal","Security","Legal Department Group","Active"
"GRP-0315","GRP-IT-0315","IT","Distribution","IT Department Group","Active"
"GRP-0316","GRP-Sales-0316","Sales","Security","Sales Department Group","Active"
"GRP-0317","GRP-Security-0317","Security","Distribution","Security Department Group","Active"
"GRP-0318","GRP-Operations-0318","Operations","Security","Operations Department Group","Active"
"GRP-0319","GRP-Legal-0319","Legal","Security","Legal Department Group","Active"
"GRP-0320","GRP-Finance-0320","Finance","Distribution","Finance Department Group","Active"
"GRP-0321","GRP-Marketing-0321","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0322","GRP-Operations-0322","Operations","Security","Operations Department Group","Active"
"GRP-0323","GRP-Finance-0323","Finance","Security","Finance Department Group","Active"
"GRP-0324","GRP-Sales-0324","Sales","Security","Sales Department Group","Active"
"GRP-0325","GRP-IT-0325","IT","Distribution","IT Department Group","Active"
"GRP-0326","GRP-Sales-0326","Sales","Security","Sales Department Group","Active"
"GRP-0327","GRP-Sales-0327","Sales","Security","Sales Department Group","Active"
"GRP-0328","GRP-HR-0328","HR","Distribution","HR Department Group","Active"
"GRP-0329","GRP-Engineering-0329","Engineering","Security","Engineering Department Group","Active"
"GRP-0330","GRP-Legal-0330","Legal","Security","Legal Department Group","Active"
"GRP-0331","GRP-Operations-0331","Operations","Distribution","Operations Department Group","Active"
"GRP-0332","GRP-Finance-0332","Finance","Security","Finance Department Group","Active"
"GRP-0333","GRP-Finance-0333","Finance","Distribution","Finance Department Group","Active"
"GRP-0334","GRP-Marketing-0334","Marketing","Security","Marketing Department Group","Active"
"GRP-0335","GRP-HR-0335","HR","Distribution","HR Department Group","Active"
"GRP-0336","GRP-Security-0336","Security","Security","Security Department Group","Active"
"GRP-0337","GRP-Marketing-0337","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0338","GRP-Legal-0338","Legal","Distribution","Legal Department Group","Active"
"GRP-0339","GRP-Legal-0339","Legal","Security","Legal Department Group","Active"
"GRP-0340","GRP-CustomerSuccess-0340","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0341","GRP-Marketing-0341","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0342","GRP-Engineering-0342","Engineering","Security","Engineering Department Group","Active"
"GRP-0343","GRP-Engineering-0343","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0344","GRP-Marketing-0344","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0345","GRP-Marketing-0345","Marketing","Security","Marketing Department Group","Active"
"GRP-0346","GRP-Sales-0346","Sales","Security","Sales Department Group","Active"
"GRP-0347","GRP-Security-0347","Security","Security","Security Department Group","Active"
