"GroupID","GroupName","MemberCount","MembershipCategory","MembershipRisk"
"GRP-0208","GRP-CustomerSuccess-0208","16","Normal","LOW"
"GRP-0209","GRP-Legal-0209","0","Empty Group","HIGH"
"GRP-0210","GRP-IT-0210","0","Empty Group","HIGH"
"GRP-0211","GRP-Finance-0211","197","Large","LOW"
"GRP-0212","GRP-Security-0212","73","Large","LOW"
"GRP-0213","GRP-HR-0213","24","Normal","LOW"
"GRP-0214","GRP-IT-0214","1","Very Small","MEDIUM"
"GRP-0215","GRP-IT-0215","179","Large","LOW"
"GRP-0216","GRP-CustomerSuccess-0216","44","Normal","LOW"
"GRP-0217","GRP-IT-0217","61","Large","LOW"
"GRP-0218","GRP-Marketing-0218","457","Very Large","MEDIUM"
"GRP-0219","GRP-Marketing-0219","0","Empty Group","HIGH"
"GRP-0220","GRP-HR-0220","330","Very Large","MEDIUM"
"GRP-0221","GRP-Engineering-0221","49","Normal","LOW"
"GRP-0222","GRP-CustomerSuccess-0222","183","Large","LOW"
"GRP-0223","GRP-Sales-0223","4","Very Small","MEDIUM"
"GRP-0224","GRP-Legal-0224","59","Large","LOW"
"GRP-0225","GRP-CustomerSuccess-0225","26","Normal","LOW"
"GRP-0226","GRP-IT-0226","3","Very Small","MEDIUM"
"GRP-0227","GRP-Operations-0227","148","Large","LOW"
"GRP-0228","GRP-Marketing-0228","37","Normal","LOW"
"GRP-0229","GRP-Marketing-0229","193","Large","LOW"
"GRP-0230","GRP-HR-0230","14","Normal","LOW"
"GRP-0231","GRP-CustomerSuccess-0231","140","Large","LOW"
"GRP-0232","GRP-Legal-0232","94","Large","LOW"
"GRP-0233","GRP-Legal-0233","12","Normal","LOW"
"GRP-0234","GRP-HR-0234","12","Normal","LOW"
"GRP-0235","GRP-Legal-0235","166","Large","LOW"
"GRP-0236","GRP-CustomerSuccess-0236","400","Very Large","MEDIUM"
"GRP-0237","GRP-Legal-0237","0","Empty Group","HIGH"
"GRP-0238","GRP-Marketing-0238","3","Very Small","MEDIUM"
"GRP-0239","GRP-HR-0239","195","Large","LOW"
"GRP-0240","GRP-CustomerSuccess-0240","322","Very Large","MEDIUM"
"GRP-0241","GRP-Sales-0241","5","Very Small","MEDIUM"
"GRP-0242","GRP-Finance-0242","17","Normal","LOW"
"GRP-0243","GRP-Marketing-0243","2","Very Small","MEDIUM"
"GRP-0244","GRP-Engineering-0244","16","Normal","LOW"
"GRP-0245","GRP-Sales-0245","190","Large","LOW"
"GRP-0246","GRP-Engineering-0246","4","Very Small","MEDIUM"
"GRP-0247","GRP-Finance-0247","16","Normal","LOW"
"GRP-0248","GRP-Sales-0248","1","Very Small","MEDIUM"
"GRP-0249","GRP-HR-0249","5","Very Small","MEDIUM"
"GRP-0250","GRP-Sales-0250","286","Very Large","MEDIUM"
"GRP-0251","GRP-Marketing-0251","33","Normal","LOW"
"GRP-0252","GRP-HR-0252","19","Normal","LOW"
"GRP-0253","GRP-IT-0253","42","Normal","LOW"
"GRP-0254","GRP-HR-0254","125","Large","LOW"
"GRP-0255","GRP-Finance-0255","25","Normal","LOW"
"GRP-0256","GRP-CustomerSuccess-0256","5","Very Small","MEDIUM"
"GRP-0257","GRP-Finance-0257","60","Large","LOW"
"GRP-0258","GRP-Engineering-0258","0","Empty Group","HIGH"
"GRP-0259","GRP-Sales-0259","34","Normal","LOW"
"GRP-0260","GRP-Legal-0260","166","Large","LOW"
"GRP-0261","GRP-Marketing-0261","36","Normal","LOW"
"GRP-0262","GRP-CustomerSuccess-0262","3","Very Small","MEDIUM"
"GRP-0263","GRP-Security-0263","470","Very Large","MEDIUM"
"GRP-0264","GRP-Operations-0264","463","Very Large","MEDIUM"
"GRP-0265","GRP-Operations-0265","127","Large","LOW"
"GRP-0266","GRP-Legal-0266","179","Large","LOW"
"GRP-0267","GRP-Finance-0267","1","Very Small","MEDIUM"
"GRP-0268","GRP-Finance-0268","105","Large","LOW"
"GRP-0269","GRP-HR-0269","24","Normal","LOW"
"GRP-0270","GRP-HR-0270","0","Empty Group","HIGH"
"GRP-0271","GRP-Sales-0271","3","Very Small","MEDIUM"
"GRP-0272","GRP-CustomerSuccess-0272","92","Large","LOW"
"GRP-0273","GRP-CustomerSuccess-0273","10","Normal","LOW"
"GRP-0274","GRP-Operations-0274","53","Large","LOW"
"GRP-0275","GRP-IT-0275","18","Normal","LOW"
"GRP-0276","GRP-HR-0276","67","Large","LOW"
"GRP-0277","GRP-Operations-0277","35","Normal","LOW"
"GRP-0278","GRP-Marketing-0278","42","Normal","LOW"
"GRP-0279","GRP-Finance-0279","31","Normal","LOW"
"GRP-0280","GRP-Sales-0280","54","Large","LOW"
"GRP-0281","GRP-CustomerSuccess-0281","18","Normal","LOW"
"GRP-0282","GRP-Operations-0282","83","Large","LOW"
"GRP-0283","GRP-Operations-0283","2","Very Small","MEDIUM"
"GRP-0284","GRP-Engineering-0284","260","Very Large","MEDIUM"
"GRP-0285","GRP-Legal-0285","12","Normal","LOW"
"GRP-0286","GRP-IT-0286","83","Large","LOW"
"GRP-0287","GRP-Operations-0287","94","Large","LOW"
"GRP-0288","GRP-Finance-0288","166","Large","LOW"
"GRP-0289","GRP-Legal-0289","26","Normal","LOW"
"GRP-0290","GRP-Finance-0290","309","Very Large","MEDIUM"
"GRP-0291","GRP-Operations-0291","50","Normal","LOW"
"GRP-0292","GRP-Security-0292","24","Normal","LOW"
"GRP-0293","GRP-Legal-0293","10","Normal","LOW"
"GRP-0294","GRP-HR-0294","1","Very Small","MEDIUM"
"GRP-0295","GRP-CustomerSuccess-0295","88","Large","LOW"
"GRP-0296","GRP-Security-0296","10","Normal","LOW"
"GRP-0297","GRP-Finance-0297","359","Very Large","MEDIUM"
"GRP-0298","GRP-Security-0298","166","Large","LOW"
"GRP-0299","GRP-Finance-0299","143","Large","LOW"
"GRP-0300","GRP-Security-0300","191","Large","LOW"
"GRP-0301","GRP-Sales-0301","125","Large","LOW"
"GRP-0302","GRP-Marketing-0302","98","Large","LOW"
"GRP-0303","GRP-Engineering-0303","65","Large","LOW"
"GRP-0304","GRP-Legal-0304","28","Normal","LOW"
"GRP-0305","GRP-Sales-0305","47","Normal","LOW"
"GRP-0306","GRP-Finance-0306","4","Very Small","MEDIUM"
"GRP-0307","GRP-Security-0307","20","Normal","LOW"
"GRP-0308","GRP-Legal-0308","156","Large","LOW"
"GRP-0309","GRP-Operations-0309","5","Very Small","MEDIUM"
"GRP-0310","GRP-Legal-0310","3","Very Small","MEDIUM"
"GRP-0311","GRP-IT-0311","134","Large","LOW"
"GRP-0312","GRP-Engineering-0312","0","Empty Group","HIGH"
"GRP-0313","GRP-Legal-0313","4","Very Small","MEDIUM"
"GRP-0314","GRP-Legal-0314","4","Very Small","MEDIUM"
"GRP-0315","GRP-IT-0315","376","Very Large","MEDIUM"
"GRP-0316","GRP-Sales-0316","14","Normal","LOW"
"GRP-0317","GRP-Security-0317","22","Normal","LOW"
"GRP-0318","GRP-Operations-0318","115","Large","LOW"
"GRP-0319","GRP-Legal-0319","48","Normal","LOW"
"GRP-0320","GRP-Finance-0320","41","Normal","LOW"
"GRP-0321","GRP-Marketing-0321","0","Empty Group","HIGH"
"GRP-0322","GRP-Operations-0322","174","Large","LOW"
"GRP-0323","GRP-Finance-0323","132","Large","LOW"
"GRP-0324","GRP-Sales-0324","56","Large","LOW"
"GRP-0325","GRP-IT-0325","14","Normal","LOW"
"GRP-0326","GRP-Sales-0326","13","Normal","LOW"
"GRP-0327","GRP-Sales-0327","47","Normal","LOW"
"GRP-0328","GRP-HR-0328","24","Normal","LOW"
"GRP-0329","GRP-Engineering-0329","1","Very Small","MEDIUM"
"GRP-0330","GRP-Legal-0330","35","Normal","LOW"
"GRP-0331","GRP-Operations-0331","42","Normal","LOW"
"GRP-0332","GRP-Finance-0332","4","Very Small","MEDIUM"
"GRP-0333","GRP-Finance-0333","0","Empty Group","HIGH"
"GRP-0334","GRP-Marketing-0334","58","Large","LOW"
"GRP-0335","GRP-HR-0335","36","Normal","LOW"
"GRP-0336","GRP-Security-0336","1","Very Small","MEDIUM"
"GRP-0337","GRP-Marketing-0337","39","Normal","LOW"
"GRP-0338","GRP-Legal-0338","154","Large","LOW"
"GRP-0339","GRP-Legal-0339","66","Large","LOW"
"GRP-0340","GRP-CustomerSuccess-0340","194","Large","LOW"
"GRP-0341","GRP-Marketing-0341","18","Normal","LOW"
"GRP-0342","GRP-Engineering-0342","13","Normal","LOW"
"GRP-0343","GRP-Engineering-0343","210","Very Large","MEDIUM"
"GRP-0344","GRP-Marketing-0344","61","Large","LOW"
"GRP-0345","GRP-Marketing-0345","114","Large","LOW"
"GRP-0346","GRP-Sales-0346","44","Normal","LOW"
"GRP-0347","GRP-Security-0347","172","Large","LOW"
"GRP-0348","GRP-Operations-0348","122","Large","LOW"
"GRP-0349","GRP-IT-0349","178","Large","LOW"
"GRP-0350","GRP-Sales-0350","376","Very Large","MEDIUM"
"GRP-0351","GRP-Engineering-0351","145","Large","LOW"
"GRP-0352","GRP-Sales-0352","49","Normal","LOW"
"GRP-0353","GRP-Legal-0353","188","Large","LOW"
"GRP-0354","GRP-Marketing-0354","123","Large","LOW"
"GRP-0355","GRP-Sales-0355","500","Very Large","MEDIUM"
"GRP-0356","GRP-Sales-0356","127","Large","LOW"
"GRP-0357","GRP-Finance-0357","3","Very Small","MEDIUM"
"GRP-0358","GRP-Marketing-0358","0","Empty Group","HIGH"
"GRP-0359","GRP-IT-0359","116","Large","LOW"
"GRP-0360","GRP-Finance-0360","0","Empty Group","HIGH"
"GRP-0361","GRP-Sales-0361","3","Very Small","MEDIUM"
"GRP-0362","GRP-Sales-0362","116","Large","LOW"
"GRP-0363","GRP-HR-0363","61","Large","LOW"
"GRP-0364","GRP-HR-0364","94","Large","LOW"
"GRP-0365","GRP-Security-0365","30","Normal","LOW"
"GRP-0366","GRP-Operations-0366","189","Large","LOW"
"GRP-0367","GRP-IT-0367","3","Very Small","MEDIUM"
"GRP-0368","GRP-IT-0368","10","Normal","LOW"
"GRP-0369","GRP-HR-0369","23","Normal","LOW"
"GRP-0370","GRP-Finance-0370","193","Large","LOW"
"GRP-0371","GRP-Finance-0371","157","Large","LOW"
"GRP-0372","GRP-Engineering-0372","103","Large","LOW"
"GRP-0373","GRP-Security-0373","112","Large","LOW"
"GRP-0374","GRP-Engineering-0374","1","Very Small","MEDIUM"
"GRP-0375","GRP-Marketing-0375","0","Empty Group","HIGH"
"GRP-0376","GRP-CustomerSuccess-0376","175","Large","LOW"
"GRP-0377","GRP-Legal-0377","79","Large","LOW"
"GRP-0378","GRP-Sales-0378","5","Very Small","MEDIUM"
"GRP-0379","GRP-Security-0379","334","Very Large","MEDIUM"
"GRP-0380","GRP-Security-0380","167","Large","LOW"
"GRP-0381","GRP-Security-0381","42","Normal","LOW"
"GRP-0382","GRP-Operations-0382","89","Large","LOW"
"GRP-0383","GRP-IT-0383","38","Normal","LOW"
"GRP-0384","GRP-IT-0384","144","Large","LOW"
"GRP-0385","GRP-Sales-0385","165","Large","LOW"
"GRP-0386","GRP-Security-0386","230","Very Large","MEDIUM"
"GRP-0387","GRP-Finance-0387","26","Normal","LOW"
"GRP-0388","GRP-Security-0388","0","Empty Group","HIGH"
"GRP-0389","GRP-Legal-0389","32","Normal","LOW"
"GRP-0390","GRP-Operations-0390","3","Very Small","MEDIUM"
"GRP-0391","GRP-Operations-0391","56","Large","LOW"
"GRP-0392","GRP-Sales-0392","40","Normal","LOW"
"GRP-0393","GRP-Sales-0393","150","Large","LOW"
"GRP-0394","GRP-HR-0394","226","Very Large","MEDIUM"
"GRP-0395","GRP-IT-0395","35","Normal","LOW"
"GRP-0396","GRP-Operations-0396","23","Normal","LOW"
"GRP-0397","GRP-Finance-0397","168","Large","LOW"
"GRP-0398","GRP-Engineering-0398","10","Normal","LOW"
"GRP-0399","GRP-Operations-0399","300","Very Large","MEDIUM"
"GRP-0400","GRP-Sales-0400","12","Normal","LOW"
"GRP-0401","GRP-Legal-0401","45","Normal","LOW"
"GRP-0402","GRP-Finance-0402","86","Large","LOW"
"GRP-0403","GRP-Security-0403","2","Very Small","MEDIUM"
"GRP-0404","GRP-Security-0404","31","Normal","LOW"
"GRP-0405","GRP-Security-0405","39","Normal","LOW"
"GRP-0406","GRP-IT-0406","21","Normal","LOW"
"GRP-0407","GRP-CustomerSuccess-0407","3","Very Small","MEDIUM"
"GRP-0408","GRP-IT-0408","2","Very Small","MEDIUM"
"GRP-0409","GRP-HR-0409","1","Very Small","MEDIUM"
"GRP-0410","GRP-Operations-0410","111","Large","LOW"
"GRP-0411","GRP-IT-0411","0","Empty Group","HIGH"
"GRP-0412","GRP-IT-0412","177","Large","LOW"
"GRP-0413","GRP-Engineering-0413","66","Large","LOW"
"GRP-0414","GRP-Engineering-0414","1","Very Small","MEDIUM"
"GRP-0415","GRP-Operations-0415","12","Normal","LOW"
"GRP-0416","GRP-Operations-0416","115","Large","LOW"
"GRP-0417","GRP-Operations-0417","4","Very Small","MEDIUM"
"GRP-0418","GRP-HR-0418","24","Normal","LOW"
"GRP-0419","GRP-Engineering-0419","180","Large","LOW"
"GRP-0420","GRP-HR-0420","4","Very Small","MEDIUM"
"GRP-0421","GRP-Operations-0421","24","Normal","LOW"
"GRP-0422","GRP-HR-0422","69","Large","LOW"
"GRP-0423","GRP-Legal-0423","4","Very Small","MEDIUM"
"GRP-0424","GRP-Operations-0424","26","Normal","LOW"
"GRP-0425","GRP-IT-0425","30","Normal","LOW"
"GRP-0426","GRP-Security-0426","37","Normal","LOW"
"GRP-0427","GRP-Legal-0427","34","Normal","LOW"
"GRP-0428","GRP-Security-0428","96","Large","LOW"
"GRP-0429","GRP-HR-0429","2","Very Small","MEDIUM"
"GRP-0430","GRP-Finance-0430","5","Very Small","MEDIUM"
"GRP-0431","GRP-IT-0431","22","Normal","LOW"
"GRP-0432","GRP-IT-0432","24","Normal","LOW"
"GRP-0433","GRP-Sales-0433","29","Normal","LOW"
"GRP-0434","GRP-Marketing-0434","381","Very Large","MEDIUM"
"GRP-0435","GRP-Legal-0435","19","Normal","LOW"
"GRP-0436","GRP-CustomerSuccess-0436","2","Very Small","MEDIUM"
"GRP-0437","GRP-HR-0437","46","Normal","LOW"
"GRP-0438","GRP-Security-0438","160","Large","LOW"
"GRP-0439","GRP-CustomerSuccess-0439","44","Normal","LOW"
"GRP-0440","GRP-Marketing-0440","195","Large","LOW"
"GRP-0441","GRP-CustomerSuccess-0441","33","Normal","LOW"
"GRP-0442","GRP-HR-0442","30","Normal","LOW"
"GRP-0443","GRP-Finance-0443","118","Large","LOW"
"GRP-0444","GRP-HR-0444","78","Large","LOW"
"GRP-0445","GRP-HR-0445","47","Normal","LOW"
"GRP-0446","GRP-Sales-0446","21","Normal","LOW"
"GRP-0447","GRP-Legal-0447","21","Normal","LOW"
