"GroupID","GroupName","OwnershipStatus","MembershipCategory","RiskScore","RiskLevel"
"GRP-0104","GRP-Finance-0104","Valid Owner","Very Small","15","LOW"
"GRP-0105","GRP-Engineering-0105","Valid Owner","Large","5","LOW"
"GRP-0106","GRP-IT-0106","Valid Owner","Large","5","LOW"
"GRP-0107","GRP-Legal-0107","Valid Owner","Very Small","15","LOW"
"GRP-0108","GRP-Engineering-0108","Valid Owner","Large","5","LOW"
"GRP-0109","GRP-IT-0109","Valid Owner","Very Small","15","LOW"
"GRP-0110","GRP-Operations-0110","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0111","GRP-HR-0111","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0112","GRP-Legal-0112","Valid Owner","Large","5","LOW"
"GRP-0113","GRP-HR-0113","Valid Owner","Very Small","15","LOW"
"GRP-0114","GRP-IT-0114","Valid Owner","Normal","0","LOW"
"GRP-0115","GRP-Marketing-0115","Valid Owner","Normal","0","LOW"
"GRP-0116","GRP-Operations-0116","Valid Owner","Large","5","LOW"
"GRP-0117","GRP-Operations-0117","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0118","GRP-Operations-0118","Valid Owner","Very Large","15","LOW"
"GRP-0119","GRP-IT-0119","Valid Owner","Large","5","LOW"
"GRP-0120","GRP-Sales-0120","Valid Owner","Large","5","LOW"
"GRP-0121","GRP-Legal-0121","Valid Owner","Large","5","LOW"
"GRP-0122","GRP-CustomerSuccess-0122","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0123","GRP-Engineering-0123","Valid Owner","Large","5","LOW"
"GRP-0124","GRP-Engineering-0124","Valid Owner","Large","5","LOW"
"GRP-0125","GRP-Marketing-0125","Valid Owner","Large","5","LOW"
"GRP-0126","GRP-Engineering-0126","Valid Owner","Normal","0","LOW"
"GRP-0127","GRP-CustomerSuccess-0127","Valid Owner","Large","5","LOW"
"GRP-0128","GRP-HR-0128","Valid Owner","Normal","0","LOW"
"GRP-0129","GRP-Marketing-0129","Valid Owner","Normal","0","LOW"
"GRP-0130","GRP-CustomerSuccess-0130","Valid Owner","Normal","0","LOW"
"GRP-0131","GRP-Engineering-0131","Valid Owner","Large","5","LOW"
"GRP-0132","GRP-Legal-0132","Valid Owner","Very Small","15","LOW"
"GRP-0133","GRP-Operations-0133","Valid Owner","Large","5","LOW"
"GRP-0134","GRP-Engineering-0134","Valid Owner","Normal","0","LOW"
"GRP-0135","GRP-HR-0135","Valid Owner","Large","5","LOW"
"GRP-0136","GRP-HR-0136","Valid Owner","Large","5","LOW"
"GRP-0137","GRP-Legal-0137","Valid Owner","Very Small","15","LOW"
"GRP-0138","GRP-Security-0138","Valid Owner","Large","5","LOW"
"GRP-0139","GRP-Operations-0139","Valid Owner","Large","5","LOW"
"GRP-0140","GRP-IT-0140","Valid Owner","Very Small","15","LOW"
"GRP-0141","GRP-CustomerSuccess-0141","Valid Owner","Large","5","LOW"
"GRP-0142","GRP-Sales-0142","Valid Owner","Large","5","LOW"
"GRP-0143","GRP-Legal-0143","Valid Owner","Large","5","LOW"
"GRP-0144","GRP-CustomerSuccess-0144","Valid Owner","Normal","0","LOW"
"GRP-0145","GRP-Sales-0145","Multiple Owners","Very Small","40","MEDIUM"
"GRP-0146","GRP-IT-0146","Valid Owner","Very Small","15","LOW"
"GRP-0147","GRP-Engineering-0147","Valid Owner","Normal","0","LOW"
"GRP-0148","GRP-HR-0148","Valid Owner","Very Small","15","LOW"
"GRP-0149","GRP-Legal-0149","Valid Owner","Very Small","15","LOW"
"GRP-0150","GRP-HR-0150","Valid Owner","Large","5","LOW"
"GRP-0151","GRP-Marketing-0151","Valid Owner","Normal","0","LOW"
"GRP-0152","GRP-Operations-0152","Valid Owner","Normal","0","LOW"
"GRP-0153","GRP-HR-0153","Valid Owner","Very Small","15","LOW"
"GRP-0154","GRP-HR-0154","Valid Owner","Large","5","LOW"
"GRP-0155","GRP-Engineering-0155","Valid Owner","Very Small","15","LOW"
"GRP-0156","GRP-IT-0156","Valid Owner","Very Large","15","LOW"
"GRP-0157","GRP-Marketing-0157","Valid Owner","Large","5","LOW"
"GRP-0158","GRP-Sales-0158","Valid Owner","Large","5","LOW"
"GRP-0159","GRP-Sales-0159","Valid Owner","Normal","0","LOW"
"GRP-0160","GRP-IT-0160","Valid Owner","Large","5","LOW"
"GRP-0161","GRP-Marketing-0161","Valid Owner","Very Small","15","LOW"
"GRP-0162","GRP-Sales-0162","Valid Owner","Large","5","LOW"
"GRP-0163","GRP-Engineering-0163","Valid Owner","Normal","0","LOW"
"GRP-0164","GRP-IT-0164","Valid Owner","Large","5","LOW"
"GRP-0165","GRP-Security-0165","Valid Owner","Large","5","LOW"
"GRP-0166","GRP-Engineering-0166","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0167","GRP-Operations-0167","Valid Owner","Normal","0","LOW"
"GRP-0168","GRP-Operations-0168","Valid Owner","Normal","0","LOW"
"GRP-0169","GRP-CustomerSuccess-0169","Valid Owner","Very Small","15","LOW"
"GRP-0170","GRP-Sales-0170","Multiple Owners","Very Large","40","MEDIUM"
"GRP-0171","GRP-IT-0171","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0172","GRP-Security-0172","Valid Owner","Very Large","15","LOW"
"GRP-0173","GRP-Engineering-0173","Valid Owner","Large","5","LOW"
"GRP-0174","GRP-Marketing-0174","Valid Owner","Large","5","LOW"
"GRP-0175","GRP-Security-0175","Valid Owner","Large","5","LOW"
"GRP-0176","GRP-Marketing-0176","Valid Owner","Normal","0","LOW"
"GRP-0177","GRP-Finance-0177","Valid Owner","Normal","0","LOW"
"GRP-0178","GRP-CustomerSuccess-0178","Valid Owner","Very Large","15","LOW"
"GRP-0179","GRP-Legal-0179","Valid Owner","Large","5","LOW"
"GRP-0180","GRP-Legal-0180","Valid Owner","Normal","0","LOW"
"GRP-0181","GRP-IT-0181","Valid Owner","Large","5","LOW"
"GRP-0182","GRP-Sales-0182","Valid Owner","Normal","0","LOW"
"GRP-0183","GRP-Finance-0183","Valid Owner","Normal","0","LOW"
"GRP-0184","GRP-CustomerSuccess-0184","Valid Owner","Normal","0","LOW"
"GRP-0185","GRP-HR-0185","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0186","GRP-Sales-0186","Valid Owner","Large","5","LOW"
"GRP-0187","GRP-IT-0187","Valid Owner","Large","5","LOW"
"GRP-0188","GRP-Finance-0188","Valid Owner","Normal","0","LOW"
"GRP-0189","GRP-HR-0189","Valid Owner","Large","5","LOW"
"GRP-0190","GRP-Security-0190","Valid Owner","Normal","0","LOW"
"GRP-0191","GRP-IT-0191","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0192","GRP-Finance-0192","Valid Owner","Large","5","LOW"
"GRP-0193","GRP-Marketing-0193","Valid Owner","Normal","0","LOW"
"GRP-0194","GRP-Operations-0194","Valid Owner","Very Large","15","LOW"
"GRP-0195","GRP-Security-0195","Valid Owner","Normal","0","LOW"
"GRP-0196","GRP-HR-0196","Valid Owner","Normal","0","LOW"
"GRP-0197","GRP-Sales-0197","Valid Owner","Large","5","LOW"
"GRP-0198","GRP-Sales-0198","Valid Owner","Large","5","LOW"
"GRP-0199","GRP-Sales-0199","Valid Owner","Large","5","LOW"
"GRP-0200","GRP-Sales-0200","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0201","GRP-Security-0201","Valid Owner","Normal","0","LOW"
"GRP-0202","GRP-Sales-0202","Valid Owner","Large","5","LOW"
"GRP-0203","GRP-Security-0203","Valid Owner","Normal","0","LOW"
"GRP-0204","GRP-IT-0204","Valid Owner","Normal","0","LOW"
"GRP-0205","GRP-Engineering-0205","Valid Owner","Very Small","15","LOW"
"GRP-0206","GRP-Security-0206","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0207","GRP-IT-0207","Valid Owner","Normal","0","LOW"
"GRP-0208","GRP-CustomerSuccess-0208","Valid Owner","Normal","0","LOW"
"GRP-0209","GRP-Legal-0209","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0210","GRP-IT-0210","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0211","GRP-Finance-0211","Valid Owner","Large","5","LOW"
"GRP-0212","GRP-Security-0212","Valid Owner","Large","5","LOW"
"GRP-0213","GRP-HR-0213","Valid Owner","Normal","0","LOW"
"GRP-0214","GRP-IT-0214","Valid Owner","Very Small","15","LOW"
"GRP-0215","GRP-IT-0215","Valid Owner","Large","5","LOW"
"GRP-0216","GRP-CustomerSuccess-0216","Valid Owner","Normal","0","LOW"
"GRP-0217","GRP-IT-0217","Valid Owner","Large","5","LOW"
"GRP-0218","GRP-Marketing-0218","Valid Owner","Very Large","15","LOW"
"GRP-0219","GRP-Marketing-0219","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0220","GRP-HR-0220","Valid Owner","Very Large","15","LOW"
"GRP-0221","GRP-Engineering-0221","Valid Owner","Normal","0","LOW"
"GRP-0222","GRP-CustomerSuccess-0222","Valid Owner","Large","5","LOW"
"GRP-0223","GRP-Sales-0223","Valid Owner","Very Small","15","LOW"
"GRP-0224","GRP-Legal-0224","Valid Owner","Large","5","LOW"
"GRP-0225","GRP-CustomerSuccess-0225","Valid Owner","Normal","0","LOW"
"GRP-0226","GRP-IT-0226","Valid Owner","Very Small","15","LOW"
"GRP-0227","GRP-Operations-0227","Valid Owner","Large","5","LOW"
"GRP-0228","GRP-Marketing-0228","Valid Owner","Normal","0","LOW"
"GRP-0229","GRP-Marketing-0229","Valid Owner","Large","5","LOW"
"GRP-0230","GRP-HR-0230","Valid Owner","Normal","0","LOW"
"GRP-0231","GRP-CustomerSuccess-0231","Valid Owner","Large","5","LOW"
"GRP-0232","GRP-Legal-0232","Multiple Owners","Large","30","MEDIUM"
"GRP-0233","GRP-Legal-0233","Valid Owner","Normal","0","LOW"
"GRP-0234","GRP-HR-0234","Valid Owner","Normal","0","LOW"
"GRP-0235","GRP-Legal-0235","Valid Owner","Large","5","LOW"
"GRP-0236","GRP-CustomerSuccess-0236","Valid Owner","Very Large","15","LOW"
"GRP-0237","GRP-Legal-0237","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0238","GRP-Marketing-0238","Multiple Owners","Very Small","40","MEDIUM"
"GRP-0239","GRP-HR-0239","Valid Owner","Large","5","LOW"
"GRP-0240","GRP-CustomerSuccess-0240","Valid Owner","Very Large","15","LOW"
"GRP-0241","GRP-Sales-0241","Valid Owner","Very Small","15","LOW"
"GRP-0242","GRP-Finance-0242","Valid Owner","Normal","0","LOW"
"GRP-0243","GRP-Marketing-0243","Valid Owner","Very Small","15","LOW"
"GRP-0244","GRP-Engineering-0244","Valid Owner","Normal","0","LOW"
"GRP-0245","GRP-Sales-0245","Valid Owner","Large","5","LOW"
"GRP-0246","GRP-Engineering-0246","Valid Owner","Very Small","15","LOW"
"GRP-0247","GRP-Finance-0247","Valid Owner","Normal","0","LOW"
"GRP-0248","GRP-Sales-0248","Valid Owner","Very Small","15","LOW"
"GRP-0249","GRP-HR-0249","Valid Owner","Very Small","15","LOW"
"GRP-0250","GRP-Sales-0250","Valid Owner","Very Large","15","LOW"
"GRP-0251","GRP-Marketing-0251","Valid Owner","Normal","0","LOW"
"GRP-0252","GRP-HR-0252","Valid Owner","Normal","0","LOW"
"GRP-0253","GRP-IT-0253","Valid Owner","Normal","0","LOW"
"GRP-0254","GRP-HR-0254","Valid Owner","Large","5","LOW"
"GRP-0255","GRP-Finance-0255","Valid Owner","Normal","0","LOW"
"GRP-0256","GRP-CustomerSuccess-0256","Valid Owner","Very Small","15","LOW"
"GRP-0257","GRP-Finance-0257","Valid Owner","Large","5","LOW"
"GRP-0258","GRP-Engineering-0258","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0259","GRP-Sales-0259","Valid Owner","Normal","0","LOW"
"GRP-0260","GRP-Legal-0260","Valid Owner","Large","5","LOW"
"GRP-0261","GRP-Marketing-0261","Valid Owner","Normal","0","LOW"
"GRP-0262","GRP-CustomerSuccess-0262","Valid Owner","Very Small","15","LOW"
"GRP-0263","GRP-Security-0263","Valid Owner","Very Large","15","LOW"
"GRP-0264","GRP-Operations-0264","Valid Owner","Very Large","15","LOW"
"GRP-0265","GRP-Operations-0265","Valid Owner","Large","5","LOW"
"GRP-0266","GRP-Legal-0266","Valid Owner","Large","5","LOW"
"GRP-0267","GRP-Finance-0267","Valid Owner","Very Small","15","LOW"
"GRP-0268","GRP-Finance-0268","Valid Owner","Large","5","LOW"
"GRP-0269","GRP-HR-0269","Valid Owner","Normal","0","LOW"
"GRP-0270","GRP-HR-0270","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0271","GRP-Sales-0271","Valid Owner","Very Small","15","LOW"
"GRP-0272","GRP-CustomerSuccess-0272","Valid Owner","Large","5","LOW"
"GRP-0273","GRP-CustomerSuccess-0273","Valid Owner","Normal","0","LOW"
"GRP-0274","GRP-Operations-0274","Valid Owner","Large","5","LOW"
"GRP-0275","GRP-IT-0275","Valid Owner","Normal","0","LOW"
"GRP-0276","GRP-HR-0276","Valid Owner","Large","5","LOW"
"GRP-0277","GRP-Operations-0277","Valid Owner","Normal","0","LOW"
"GRP-0278","GRP-Marketing-0278","Valid Owner","Normal","0","LOW"
"GRP-0279","GRP-Finance-0279","Valid Owner","Normal","0","LOW"
"GRP-0280","GRP-Sales-0280","Valid Owner","Large","5","LOW"
"GRP-0281","GRP-CustomerSuccess-0281","Valid Owner","Normal","0","LOW"
"GRP-0282","GRP-Operations-0282","Valid Owner","Large","5","LOW"
"GRP-0283","GRP-Operations-0283","Valid Owner","Very Small","15","LOW"
"GRP-0284","GRP-Engineering-0284","Valid Owner","Very Large","15","LOW"
"GRP-0285","GRP-Legal-0285","Valid Owner","Normal","0","LOW"
"GRP-0286","GRP-IT-0286","Valid Owner","Large","5","LOW"
"GRP-0287","GRP-Operations-0287","Valid Owner","Large","5","LOW"
"GRP-0288","GRP-Finance-0288","Valid Owner","Large","5","LOW"
"GRP-0289","GRP-Legal-0289","Valid Owner","Normal","0","LOW"
"GRP-0290","GRP-Finance-0290","Valid Owner","Very Large","15","LOW"
"GRP-0291","GRP-Operations-0291","Valid Owner","Normal","0","LOW"
"GRP-0292","GRP-Security-0292","Valid Owner","Normal","0","LOW"
"GRP-0293","GRP-Legal-0293","Valid Owner","Normal","0","LOW"
"GRP-0294","GRP-HR-0294","Valid Owner","Very Small","15","LOW"
"GRP-0295","GRP-CustomerSuccess-0295","Valid Owner","Large","5","LOW"
"GRP-0296","GRP-Security-0296","Valid Owner","Normal","0","LOW"
"GRP-0297","GRP-Finance-0297","Valid Owner","Very Large","15","LOW"
"GRP-0298","GRP-Security-0298","Valid Owner","Large","5","LOW"
"GRP-0299","GRP-Finance-0299","Valid Owner","Large","5","LOW"
"GRP-0300","GRP-Security-0300","Valid Owner","Large","5","LOW"
"GRP-0301","GRP-Sales-0301","Valid Owner","Large","5","LOW"
"GRP-0302","GRP-Marketing-0302","Valid Owner","Large","5","LOW"
"GRP-0303","GRP-Engineering-0303","Valid Owner","Large","5","LOW"
"GRP-0304","GRP-Legal-0304","Valid Owner","Normal","0","LOW"
"GRP-0305","GRP-Sales-0305","Valid Owner","Normal","0","LOW"
"GRP-0306","GRP-Finance-0306","Valid Owner","Very Small","15","LOW"
"GRP-0307","GRP-Security-0307","Valid Owner","Normal","0","LOW"
"GRP-0308","GRP-Legal-0308","Valid Owner","Large","5","LOW"
"GRP-0309","GRP-Operations-0309","Valid Owner","Very Small","15","LOW"
"GRP-0310","GRP-Legal-0310","Valid Owner","Very Small","15","LOW"
"GRP-0311","GRP-IT-0311","Valid Owner","Large","5","LOW"
"GRP-0312","GRP-Engineering-0312","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0313","GRP-Legal-0313","Valid Owner","Very Small","15","LOW"
"GRP-0314","GRP-Legal-0314","Valid Owner","Very Small","15","LOW"
"GRP-0315","GRP-IT-0315","Valid Owner","Very Large","15","LOW"
"GRP-0316","GRP-Sales-0316","Valid Owner","Normal","0","LOW"
"GRP-0317","GRP-Security-0317","Valid Owner","Normal","0","LOW"
"GRP-0318","GRP-Operations-0318","Valid Owner","Large","5","LOW"
"GRP-0319","GRP-Legal-0319","Valid Owner","Normal","0","LOW"
"GRP-0320","GRP-Finance-0320","Valid Owner","Normal","0","LOW"
"GRP-0321","GRP-Marketing-0321","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0322","GRP-Operations-0322","Valid Owner","Large","5","LOW"
"GRP-0323","GRP-Finance-0323","Valid Owner","Large","5","LOW"
"GRP-0324","GRP-Sales-0324","Valid Owner","Large","5","LOW"
"GRP-0325","GRP-IT-0325","Valid Owner","Normal","0","LOW"
"GRP-0326","GRP-Sales-0326","Valid Owner","Normal","0","LOW"
"GRP-0327","GRP-Sales-0327","Multiple Owners","Normal","25","MEDIUM"
"GRP-0328","GRP-HR-0328","Valid Owner","Normal","0","LOW"
"GRP-0329","GRP-Engineering-0329","Valid Owner","Very Small","15","LOW"
"GRP-0330","GRP-Legal-0330","Valid Owner","Normal","0","LOW"
"GRP-0331","GRP-Operations-0331","Valid Owner","Normal","0","LOW"
"GRP-0332","GRP-Finance-0332","Valid Owner","Very Small","15","LOW"
"GRP-0333","GRP-Finance-0333","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0334","GRP-Marketing-0334","Valid Owner","Large","5","LOW"
"GRP-0335","GRP-HR-0335","Valid Owner","Normal","0","LOW"
"GRP-0336","GRP-Security-0336","Valid Owner","Very Small","15","LOW"
"GRP-0337","GRP-Marketing-0337","Valid Owner","Normal","0","LOW"
"GRP-0338","GRP-Legal-0338","Valid Owner","Large","5","LOW"
"GRP-0339","GRP-Legal-0339","Valid Owner","Large","5","LOW"
"GRP-0340","GRP-CustomerSuccess-0340","Valid Owner","Large","5","LOW"
"GRP-0341","GRP-Marketing-0341","Valid Owner","Normal","0","LOW"
"GRP-0342","GRP-Engineering-0342","Valid Owner","Normal","0","LOW"
"GRP-0343","GRP-Engineering-0343","Valid Owner","Very Large","15","LOW"
"GRP-0344","GRP-Marketing-0344","Valid Owner","Large","5","LOW"
"GRP-0345","GRP-Marketing-0345","Valid Owner","Large","5","LOW"
"GRP-0346","GRP-Sales-0346","Valid Owner","Normal","0","LOW"
"GRP-0347","GRP-Security-0347","Valid Owner","Large","5","LOW"
"GRP-0348","GRP-Operations-0348","Valid Owner","Large","5","LOW"
"GRP-0349","GRP-IT-0349","Valid Owner","Large","5","LOW"
"GRP-0350","GRP-Sales-0350","Valid Owner","Very Large","15","LOW"
"GRP-0351","GRP-Engineering-0351","Valid Owner","Large","5","LOW"
"GRP-0352","GRP-Sales-0352","Valid Owner","Normal","0","LOW"
"GRP-0353","GRP-Legal-0353","Valid Owner","Large","5","LOW"
"GRP-0354","GRP-Marketing-0354","Valid Owner","Large","5","LOW"
"GRP-0355","GRP-Sales-0355","Valid Owner","Very Large","15","LOW"
"GRP-0356","GRP-Sales-0356","Valid Owner","Large","5","LOW"
"GRP-0357","GRP-Finance-0357","Valid Owner","Very Small","15","LOW"
"GRP-0358","GRP-Marketing-0358","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0359","GRP-IT-0359","Valid Owner","Large","5","LOW"
"GRP-0360","GRP-Finance-0360","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0361","GRP-Sales-0361","Valid Owner","Very Small","15","LOW"
"GRP-0362","GRP-Sales-0362","Valid Owner","Large","5","LOW"
"GRP-0363","GRP-HR-0363","Valid Owner","Large","5","LOW"
"GRP-0364","GRP-HR-0364","Valid Owner","Large","5","LOW"
"GRP-0365","GRP-Security-0365","Valid Owner","Normal","0","LOW"
"GRP-0366","GRP-Operations-0366","Valid Owner","Large","5","LOW"
"GRP-0367","GRP-IT-0367","Valid Owner","Very Small","15","LOW"
"GRP-0368","GRP-IT-0368","Valid Owner","Normal","0","LOW"
